#head
#DDES_version	1.0
#datetime	202506301127
#experiment_ID	expID
#run_ID	5160815c-092d-49ea-946c-cf7bcb49432a
#DDES_type	intensity
#well_ID	B3
#assay_ID	HIV Triplex
#data
partition_ID	channel_ID	FI_endpoint
2	CRIMSON	35.52
3	CRIMSON	35.69
4	CRIMSON	34.88
5	CRIMSON	35.09
6	CRIMSON	34.43
7	CRIMSON	34.92
8	CRIMSON	35.43
9	CRIMSON	35
10	CRIMSON	35.3
11	CRIMSON	35.75
12	CRIMSON	35.4
14	CRIMSON	34.52
273	CRIMSON	31.11
274	CRIMSON	36.67
275	CRIMSON	36.78
276	CRIMSON	69.58
277	CRIMSON	36.98
278	CRIMSON	34.46
279	CRIMSON	35.59
280	CRIMSON	35.81
281	CRIMSON	35.56
282	CRIMSON	36.56
283	CRIMSON	37.52
284	CRIMSON	35.79
285	CRIMSON	36.72
286	CRIMSON	36.74
287	CRIMSON	37.86
288	CRIMSON	36.64
289	CRIMSON	36.7
290	CRIMSON	36.2
291	CRIMSON	37.85
292	CRIMSON	37.99
293	CRIMSON	37.51
294	CRIMSON	36.59
295	CRIMSON	37.45
296	CRIMSON	37.01
297	CRIMSON	37.64
298	CRIMSON	34.43
299	CRIMSON	33.34
300	CRIMSON	35.89
301	CRIMSON	35.98
302	CRIMSON	36.02
303	CRIMSON	37.03
304	CRIMSON	35.99
305	CRIMSON	37.29
306	CRIMSON	35.34
307	CRIMSON	36.77
308	CRIMSON	36.23
309	CRIMSON	36.27
310	CRIMSON	37.32
311	CRIMSON	37.15
312	CRIMSON	37.53
313	CRIMSON	39.03
314	CRIMSON	37.07
315	CRIMSON	38.21
316	CRIMSON	33.93
317	CRIMSON	36.96
318	CRIMSON	35.09
319	CRIMSON	71.82
320	CRIMSON	36.7
321	CRIMSON	37.07
322	CRIMSON	35.11
323	CRIMSON	36.93
324	CRIMSON	36.29
325	CRIMSON	36.48
326	CRIMSON	36.38
327	CRIMSON	70.37
328	CRIMSON	36.15
329	CRIMSON	36.58
330	CRIMSON	37.07
331	CRIMSON	35.76
332	CRIMSON	38.27
333	CRIMSON	37.41
334	CRIMSON	37.92
335	CRIMSON	37.13
336	CRIMSON	37.28
337	CRIMSON	34.61
338	CRIMSON	35.3
339	CRIMSON	73.7
546	CRIMSON	37.35
547	CRIMSON	37
548	CRIMSON	35
549	CRIMSON	37.34
550	CRIMSON	58.86
551	CRIMSON	34.98
552	CRIMSON	36.41
553	CRIMSON	37.17
554	CRIMSON	37.45
555	CRIMSON	37.31
556	CRIMSON	73.74
557	CRIMSON	36.98
558	CRIMSON	70.58
559	CRIMSON	36.11
560	CRIMSON	36.11
561	CRIMSON	36.56
562	CRIMSON	34.79
563	CRIMSON	34.98
564	CRIMSON	37.36
565	CRIMSON	35.32
566	CRIMSON	36.54
567	CRIMSON	37.01
568	CRIMSON	36.07
569	CRIMSON	37.56
570	CRIMSON	66.47
571	CRIMSON	36.95
572	CRIMSON	36.64
573	CRIMSON	36.75
574	CRIMSON	38.09
575	CRIMSON	37.43
576	CRIMSON	37.55
577	CRIMSON	35.31
578	CRIMSON	37.39
579	CRIMSON	36.51
580	CRIMSON	36.64
581	CRIMSON	35.04
582	CRIMSON	35.76
583	CRIMSON	34.87
584	CRIMSON	37.29
585	CRIMSON	35.47
586	CRIMSON	37.23
587	CRIMSON	36.67
588	CRIMSON	36.64
589	CRIMSON	37.39
590	CRIMSON	37.81
591	CRIMSON	35.97
592	CRIMSON	38.42
593	CRIMSON	76.11
594	CRIMSON	37.6
595	CRIMSON	38.28
596	CRIMSON	37.46
597	CRIMSON	36.34
598	CRIMSON	37.96
599	CRIMSON	35.68
600	CRIMSON	36.41
601	CRIMSON	35.25
602	CRIMSON	35.93
603	CRIMSON	36.79
604	CRIMSON	37.69
605	CRIMSON	34.92
606	CRIMSON	75.79
607	CRIMSON	37.7
608	CRIMSON	37.12
609	CRIMSON	37.83
610	CRIMSON	37.22
611	CRIMSON	37.25
612	CRIMSON	36.94
817	CRIMSON	31.36
818	CRIMSON	37.33
819	CRIMSON	36.48
820	CRIMSON	37.39
821	CRIMSON	36.21
822	CRIMSON	37.23
823	CRIMSON	37.12
824	CRIMSON	37.95
825	CRIMSON	36.19
826	CRIMSON	36.5
827	CRIMSON	35.46
828	CRIMSON	33.46
829	CRIMSON	36.8
830	CRIMSON	35.53
831	CRIMSON	34.92
