#head
#DDES_version	1.0
#datetime	202506301127
#experiment_ID	expID
#run_ID	5160815c-092d-49ea-946c-cf7bcb49432a
#DDES_type	intensity
#well_ID	C1
#assay_ID	HIV Triplex
#data
partition_ID	channel_ID	FI_endpoint
2	CRIMSON	31.77
3	CRIMSON	32.1
4	CRIMSON	30.83
5	CRIMSON	32.52
6	CRIMSON	32.01
7	CRIMSON	31.92
8	CRIMSON	31.79
9	CRIMSON	32.59
10	CRIMSON	31.53
30	CRIMSON	32.33
37	CRIMSON	33.45
273	CRIMSON	32.53
274	CRIMSON	34.52
275	CRIMSON	35.31
276	CRIMSON	33.26
277	CRIMSON	35.23
278	CRIMSON	37.03
279	CRIMSON	34.54
280	CRIMSON	33.36
281	CRIMSON	35.22
282	CRIMSON	34.29
283	CRIMSON	34.65
284	CRIMSON	34.99
285	CRIMSON	34.48
286	CRIMSON	33.47
287	CRIMSON	34.83
288	CRIMSON	33.87
289	CRIMSON	32.88
290	CRIMSON	34.07
291	CRIMSON	33.42
292	CRIMSON	34.71
293	CRIMSON	35.08
294	CRIMSON	32.25
295	CRIMSON	35.48
296	CRIMSON	34.23
297	CRIMSON	35.04
298	CRIMSON	34.87
299	CRIMSON	33.27
300	CRIMSON	35.9
301	CRIMSON	34.15
302	CRIMSON	36.18
303	CRIMSON	36.3
304	CRIMSON	36.62
305	CRIMSON	35.86
306	CRIMSON	35.2
307	CRIMSON	35.72
308	CRIMSON	35.44
309	CRIMSON	34.09
310	CRIMSON	36.61
311	CRIMSON	33.94
312	CRIMSON	35.6
313	CRIMSON	35.4
314	CRIMSON	34.51
315	CRIMSON	34.02
316	CRIMSON	76.35
317	CRIMSON	33.26
318	CRIMSON	34.37
319	CRIMSON	34.54
320	CRIMSON	33.29
321	CRIMSON	35.47
322	CRIMSON	34.18
323	CRIMSON	31.69
324	CRIMSON	35.73
325	CRIMSON	34.23
326	CRIMSON	36.48
327	CRIMSON	34.46
328	CRIMSON	34.62
329	CRIMSON	34.83
330	CRIMSON	34.34
331	CRIMSON	35.82
332	CRIMSON	36.01
333	CRIMSON	35.37
334	CRIMSON	32.93
335	CRIMSON	35.33
336	CRIMSON	35.53
337	CRIMSON	34.38
338	CRIMSON	33.79
339	CRIMSON	35.2
545	CRIMSON	34.75
546	CRIMSON	33.17
547	CRIMSON	33.93
548	CRIMSON	35.35
549	CRIMSON	33.72
550	CRIMSON	35.72
551	CRIMSON	32.53
552	CRIMSON	34.12
553	CRIMSON	34.91
554	CRIMSON	32.09
555	CRIMSON	34.9
556	CRIMSON	34.81
557	CRIMSON	74.71
558	CRIMSON	35.19
559	CRIMSON	35.56
560	CRIMSON	35.54
561	CRIMSON	35.21
562	CRIMSON	34.59
563	CRIMSON	34.53
564	CRIMSON	34.73
565	CRIMSON	34.48
566	CRIMSON	34.41
567	CRIMSON	35.88
568	CRIMSON	34.92
569	CRIMSON	34.93
570	CRIMSON	33.92
571	CRIMSON	34.85
572	CRIMSON	33.78
573	CRIMSON	34.15
574	CRIMSON	36.33
575	CRIMSON	33.74
576	CRIMSON	33.98
577	CRIMSON	34.25
578	CRIMSON	34.47
579	CRIMSON	35.19
580	CRIMSON	34.98
581	CRIMSON	36.76
582	CRIMSON	35.79
583	CRIMSON	35.63
584	CRIMSON	36.37
585	CRIMSON	35.13
586	CRIMSON	36.26
587	CRIMSON	36.2
588	CRIMSON	35.22
589	CRIMSON	36.47
590	CRIMSON	35.66
591	CRIMSON	35.22
592	CRIMSON	35.72
593	CRIMSON	35.34
594	CRIMSON	34.23
595	CRIMSON	35.79
596	CRIMSON	34.25
597	CRIMSON	35.65
598	CRIMSON	35.29
599	CRIMSON	34.2
600	CRIMSON	35.97
601	CRIMSON	34.71
602	CRIMSON	33.44
603	CRIMSON	34.45
604	CRIMSON	34.82
605	CRIMSON	34.9
606	CRIMSON	35.33
607	CRIMSON	34.11
608	CRIMSON	35.46
609	CRIMSON	33.64
610	CRIMSON	35.5
611	CRIMSON	34.08
612	CRIMSON	34.55
817	CRIMSON	32.85
818	CRIMSON	33.14
819	CRIMSON	35.03
820	CRIMSON	34.27
821	CRIMSON	35.83
822	CRIMSON	35.03
823	CRIMSON	34.19
824	CRIMSON	33.97
825	CRIMSON	34.99
826	CRIMSON	34.3
827	CRIMSON	32.75
828	CRIMSON	33.62
829	CRIMSON	33.66
830	CRIMSON	32.49
831	CRIMSON	33.78
832	CRIMSON	34.1
833	CRIMSON	34.31
834	CRIMSON	74.16
835	CRIMSON	35.12
836	CRIMSON	35
837	CRIMSON	35
838	CRIMSON	33.73
839	CRIMSON	35.27
840	CRIMSON	34.85
841	CRIMSON	36.38
842	CRIMSON	34.4
843	CRIMSON	33.91
844	CRIMSON	35.04
845	CRIMSON	34.78
846	CRIMSON	35.54
847	CRIMSON	34.94
848	CRIMSON	34.75
849	CRIMSON	34.92
850	CRIMSON	33.61
851	CRIMSON	34.62
852	CRIMSON	35.41
853	CRIMSON	33.82
854	CRIMSON	34.79
855	CRIMSON	62.1
856	CRIMSON	34.09
857	CRIMSON	34.68
858	CRIMSON	33.68
859	CRIMSON	34.5
860	CRIMSON	34.74
861	CRIMSON	34.15
862	CRIMSON	34.12
863	CRIMSON	34.93
864	CRIMSON	34.77
865	CRIMSON	35.35
866	CRIMSON	35.26
867	CRIMSON	34.83
868	CRIMSON	35.78
869	CRIMSON	35.52
870	CRIMSON	35.7
871	CRIMSON	34.95
872	CRIMSON	36.13
873	CRIMSON	35.95
874	CRIMSON	34.58
875	CRIMSON	34.89
876	CRIMSON	36.25
877	CRIMSON	34.83
878	CRIMSON	35.4
879	CRIMSON	34.26
880	CRIMSON	34.81
881	CRIMSON	35.02
882	CRIMSON	34.5
883	CRIMSON	32.69
1089	CRIMSON	35.2
1090	CRIMSON	33.78
1091	CRIMSON	35.22
1092	CRIMSON	34.45
1093	CRIMSON	34.88
1094	CRIMSON	34.52
1095	CRIMSON	32.59
1096	CRIMSON	34.36
1097	CRIMSON	35
1098	CRIMSON	33.56
1099	CRIMSON	34.63
1100	CRIMSON	35.47
1101	CRIMSON	34.3
1102	CRIMSON	35.57
1103	CRIMSON	36.03
