#head
#DDES_version	1.0
#datetime	202506301127
#experiment_ID	expID
#run_ID	5160815c-092d-49ea-946c-cf7bcb49432a
#DDES_type	intensity
#well_ID	D2
#assay_ID	HIV Triplex
#data
partition_ID	channel_ID	FI_endpoint
5	CRIMSON	34.67
7	CRIMSON	33.84
8	CRIMSON	34.6
10	CRIMSON	32.79
273	CRIMSON	31.97
274	CRIMSON	34.2
275	CRIMSON	33.58
276	CRIMSON	32.75
277	CRIMSON	32.92
278	CRIMSON	33.27
279	CRIMSON	31.72
280	CRIMSON	33.05
281	CRIMSON	33.9
282	CRIMSON	33.48
283	CRIMSON	32.98
284	CRIMSON	34.54
285	CRIMSON	32.79
286	CRIMSON	34.28
287	CRIMSON	34
288	CRIMSON	33.62
289	CRIMSON	31.77
290	CRIMSON	33.88
291	CRIMSON	34.34
292	CRIMSON	34.67
293	CRIMSON	34.64
294	CRIMSON	34.13
295	CRIMSON	33.93
296	CRIMSON	32.96
297	CRIMSON	34.14
298	CRIMSON	34.84
299	CRIMSON	34.49
300	CRIMSON	34.89
301	CRIMSON	33.48
302	CRIMSON	35.02
303	CRIMSON	33.77
304	CRIMSON	34.42
305	CRIMSON	34.54
306	CRIMSON	33.66
307	CRIMSON	33.87
308	CRIMSON	33.46
309	CRIMSON	33.64
310	CRIMSON	33.96
311	CRIMSON	32.72
312	CRIMSON	34.82
313	CRIMSON	34.93
314	CRIMSON	34.34
315	CRIMSON	34.97
316	CRIMSON	35.52
317	CRIMSON	33.14
318	CRIMSON	35.18
319	CRIMSON	34.4
320	CRIMSON	33.14
321	CRIMSON	34.98
322	CRIMSON	33.91
323	CRIMSON	34.82
324	CRIMSON	34.78
325	CRIMSON	34.1
326	CRIMSON	34.41
327	CRIMSON	34.67
328	CRIMSON	33.76
329	CRIMSON	35.48
330	CRIMSON	34.26
331	CRIMSON	33.41
332	CRIMSON	33.5
333	CRIMSON	33.07
334	CRIMSON	31.77
335	CRIMSON	34.75
336	CRIMSON	34.21
337	CRIMSON	33.5
338	CRIMSON	34.14
339	CRIMSON	34.48
546	CRIMSON	31.59
547	CRIMSON	32.68
548	CRIMSON	34.19
549	CRIMSON	34.28
550	CRIMSON	35.29
551	CRIMSON	30.82
552	CRIMSON	34.06
553	CRIMSON	34.07
554	CRIMSON	34.07
555	CRIMSON	34.64
556	CRIMSON	35.55
557	CRIMSON	34.89
558	CRIMSON	35.05
559	CRIMSON	34.52
560	CRIMSON	34.9
561	CRIMSON	35.4
562	CRIMSON	34.45
563	CRIMSON	33.37
564	CRIMSON	34.31
565	CRIMSON	33.21
566	CRIMSON	34.07
567	CRIMSON	34.88
568	CRIMSON	34.4
569	CRIMSON	34.75
570	CRIMSON	33.36
571	CRIMSON	34.89
572	CRIMSON	35.02
573	CRIMSON	36.04
574	CRIMSON	35.63
575	CRIMSON	35.88
576	CRIMSON	35.23
577	CRIMSON	36.29
578	CRIMSON	35.43
579	CRIMSON	35.84
580	CRIMSON	34.22
581	CRIMSON	37.97
582	CRIMSON	35.93
583	CRIMSON	35.93
584	CRIMSON	35.79
585	CRIMSON	34.47
586	CRIMSON	35.64
587	CRIMSON	36.84
588	CRIMSON	33.42
589	CRIMSON	36.16
590	CRIMSON	34.1
591	CRIMSON	33.9
592	CRIMSON	34.67
593	CRIMSON	35.49
594	CRIMSON	33.29
595	CRIMSON	35.84
596	CRIMSON	34.52
597	CRIMSON	34.73
598	CRIMSON	35.61
599	CRIMSON	35.4
600	CRIMSON	33.97
601	CRIMSON	35.66
602	CRIMSON	35.88
603	CRIMSON	35.94
604	CRIMSON	35.86
605	CRIMSON	36.26
606	CRIMSON	35.14
607	CRIMSON	34.89
608	CRIMSON	34.97
609	CRIMSON	33.95
610	CRIMSON	32.65
611	CRIMSON	32.46
612	CRIMSON	34.26
817	CRIMSON	32.81
818	CRIMSON	34.72
819	CRIMSON	35.23
820	CRIMSON	34.87
821	CRIMSON	33.65
822	CRIMSON	35.01
823	CRIMSON	34.21
824	CRIMSON	34.46
825	CRIMSON	33.96
826	CRIMSON	33.69
827	CRIMSON	33.2
828	CRIMSON	33.53
829	CRIMSON	33.83
830	CRIMSON	34.25
831	CRIMSON	35.03
832	CRIMSON	35.09
833	CRIMSON	34.64
834	CRIMSON	35.69
835	CRIMSON	34.76
836	CRIMSON	35.87
837	CRIMSON	35.6
838	CRIMSON	35.25
839	CRIMSON	35.17
840	CRIMSON	34.42
841	CRIMSON	34.38
842	CRIMSON	35.14
843	CRIMSON	33.11
844	CRIMSON	35.37
845	CRIMSON	34.04
846	CRIMSON	34.39
847	CRIMSON	33.52
848	CRIMSON	34.2
849	CRIMSON	33.15
850	CRIMSON	32.89
851	CRIMSON	35.02
852	CRIMSON	35.31
853	CRIMSON	34.69
854	CRIMSON	35.6
855	CRIMSON	34.79
856	CRIMSON	35.88
857	CRIMSON	36.29
858	CRIMSON	35.75
