#head
#DDES_version	1.0
#datetime	202506301127
#experiment_ID	expID
#run_ID	5160815c-092d-49ea-946c-cf7bcb49432a
#DDES_type	intensity
#well_ID	H1
#assay_ID	HIV Triplex
#data
partition_ID	channel_ID	FI_endpoint
3	CRIMSON	33.07
4	CRIMSON	33.35
5	CRIMSON	35.51
6	CRIMSON	34.03
7	CRIMSON	35.1
8	CRIMSON	34.61
9	CRIMSON	35.91
11	CRIMSON	34.42
14	CRIMSON	35.15
17	CRIMSON	34
273	CRIMSON	33.28
274	CRIMSON	34.42
275	CRIMSON	35.98
276	CRIMSON	34.44
277	CRIMSON	34.02
278	CRIMSON	33.29
279	CRIMSON	35.88
280	CRIMSON	33.71
281	CRIMSON	32.81
282	CRIMSON	33.12
283	CRIMSON	33.72
284	CRIMSON	32.9
285	CRIMSON	35.11
286	CRIMSON	34.14
287	CRIMSON	37.8
288	CRIMSON	34.45
289	CRIMSON	35.53
290	CRIMSON	34.02
291	CRIMSON	34.39
292	CRIMSON	34.8
293	CRIMSON	35.24
294	CRIMSON	34.21
295	CRIMSON	35.42
296	CRIMSON	33.28
297	CRIMSON	33.53
298	CRIMSON	32.52
299	CRIMSON	34.31
300	CRIMSON	33.9
301	CRIMSON	36.12
302	CRIMSON	34.7
303	CRIMSON	35.78
304	CRIMSON	35.55
305	CRIMSON	35.9
306	CRIMSON	34.85
307	CRIMSON	36.05
308	CRIMSON	35.68
309	CRIMSON	34.78
310	CRIMSON	35.12
311	CRIMSON	33.68
312	CRIMSON	34.51
313	CRIMSON	34.89
314	CRIMSON	33.57
315	CRIMSON	34.63
316	CRIMSON	34.85
317	CRIMSON	33.55
318	CRIMSON	34.55
319	CRIMSON	34.49
320	CRIMSON	34.22
321	CRIMSON	35.39
322	CRIMSON	35.44
323	CRIMSON	34.33
324	CRIMSON	35.79
325	CRIMSON	34.11
326	CRIMSON	34.11
327	CRIMSON	35.3
328	CRIMSON	35.35
329	CRIMSON	35.44
330	CRIMSON	35.79
331	CRIMSON	34.7
332	CRIMSON	33.93
333	CRIMSON	33.19
334	CRIMSON	33.32
335	CRIMSON	34.95
336	CRIMSON	35.25
337	CRIMSON	32.82
338	CRIMSON	34.47
339	CRIMSON	33.44
546	CRIMSON	34.52
547	CRIMSON	33.34
548	CRIMSON	33.03
549	CRIMSON	35.75
550	CRIMSON	35.43
551	CRIMSON	31.52
552	CRIMSON	35.94
553	CRIMSON	36.64
554	CRIMSON	34.7
555	CRIMSON	35.95
556	CRIMSON	36.9
557	CRIMSON	37.18
558	CRIMSON	35.59
559	CRIMSON	35.78
560	CRIMSON	34.35
561	CRIMSON	34.93
562	CRIMSON	33.84
563	CRIMSON	35.74
564	CRIMSON	35.67
565	CRIMSON	36.21
566	CRIMSON	36.77
567	CRIMSON	36.49
568	CRIMSON	36.67
569	CRIMSON	36.19
570	CRIMSON	34.55
571	CRIMSON	37.08
572	CRIMSON	34.46
573	CRIMSON	37.63
574	CRIMSON	34.75
575	CRIMSON	36.11
576	CRIMSON	36.39
577	CRIMSON	34.97
578	CRIMSON	35.84
579	CRIMSON	35.58
580	CRIMSON	35.2
581	CRIMSON	36.53
582	CRIMSON	36.46
583	CRIMSON	36.68
584	CRIMSON	36.92
585	CRIMSON	35.8
586	CRIMSON	37.62
587	CRIMSON	36.94
588	CRIMSON	36.97
589	CRIMSON	37.18
590	CRIMSON	37.81
591	CRIMSON	35.36
592	CRIMSON	37.11
593	CRIMSON	36.06
594	CRIMSON	36.24
595	CRIMSON	37.07
596	CRIMSON	36.21
597	CRIMSON	33.25
598	CRIMSON	35.89
599	CRIMSON	34.31
600	CRIMSON	34.42
601	CRIMSON	35.99
602	CRIMSON	34.99
603	CRIMSON	34.74
604	CRIMSON	36.36
605	CRIMSON	35.17
606	CRIMSON	38.3
607	CRIMSON	35.76
608	CRIMSON	36.66
609	CRIMSON	35.57
610	CRIMSON	36.52
611	CRIMSON	36.48
612	CRIMSON	37
817	CRIMSON	33.13
818	CRIMSON	37.89
819	CRIMSON	31.47
820	CRIMSON	36.46
821	CRIMSON	34.76
822	CRIMSON	35.97
823	CRIMSON	35.61
