#header
#DDES_version	1.0
#datetime	202506301127
#experiment_ID	expID
#run_ID	5160815c-092d-49ea-946c-cf7bcb49432a
#DDES_type	main
#instrument	QIAcuity Four
#plate_type	Nanoplate 26K 24-well
#instrument_software_version	QIAcuity Software Suite 2.5.0
#data
well_ID	sample_ID	assay_ID	target_ID	counts_positive	counts_negative	concentration_reaction_cp_µL	threshold_if_threshold
A1	Sample1	HIV Triplex	PSI	4236	21173	241.9	18.88
A1	Sample1	HIV Triplex	ENV	4456	20920	256.1	19.87
A1	Sample1	HIV Triplex	GAG	4370	21030	250.4	42.23
A2	Sample2	HIV Triplex	PSI	4142	19644	257.1	18.88
A2	Sample2	HIV Triplex	ENV	4242	20867	248.7	19.87
A2	Sample2	HIV Triplex	GAG	4255	20451	254	42.23
A3	Sample3	HIV Triplex	PSI	4143	21241	238.1	18.88
A3	Sample3	HIV Triplex	ENV	4280	21082	246.9	19.87
A3	Sample3	HIV Triplex	GAG	4292	21067	247.7	42.23
B1	Sample4	HIV Triplex	PSI	1269	24190	69.22	18.88
B1	Sample4	HIV Triplex	ENV	1215	24243	66.2	19.87
B1	Sample4	HIV Triplex	GAG	1295	24170	70.65	42.23
B2	Sample5	HIV Triplex	PSI	1105	24351	62.41	18.88
B2	Sample5	HIV Triplex	ENV	1175	24273	66.48	19.87
B2	Sample5	HIV Triplex	GAG	1158	24296	65.48	42.23
B3	Sample6	HIV Triplex	PSI	1080	24381	58.83	18.88
B3	Sample6	HIV Triplex	ENV	1039	24428	56.53	19.87
B3	Sample6	HIV Triplex	GAG	1092	24373	59.48	42.23
C1	Sample7	HIV Triplex	PSI	320	25154	17.27	18.88
C1	Sample7	HIV Triplex	ENV	288	25186	15.53	19.87
C1	Sample7	HIV Triplex	GAG	325	25149	17.54	42.23
C2	Sample8	HIV Triplex	PSI	283	25186	15.68	18.88
C2	Sample8	HIV Triplex	ENV	321	25148	17.8	19.87
C2	Sample8	HIV Triplex	GAG	286	25183	15.85	42.23
C3	Sample9	HIV Triplex	PSI	285	25197	15.48	18.88
C3	Sample9	HIV Triplex	ENV	314	25168	17.06	19.87
C3	Sample9	HIV Triplex	GAG	292	25190	15.86	42.23
D1	Sample10	HIV Triplex	PSI	71	25406	3.804	18.88
D1	Sample10	HIV Triplex	ENV	76	25401	4.073	19.87
D1	Sample10	HIV Triplex	GAG	76	25401	4.073	42.23
D2	Sample11	HIV Triplex	PSI	56	25415	3.128	18.88
D2	Sample11	HIV Triplex	ENV	88	25383	4.919	19.87
D2	Sample11	HIV Triplex	GAG	71	25400	3.967	42.23
D3	Sample12	HIV Triplex	PSI	63	25415	3.417	18.88
D3	Sample12	HIV Triplex	ENV	63	25415	3.417	19.87
D3	Sample12	HIV Triplex	GAG	67	25411	3.635	42.23
E1	Sample13	HIV Triplex	PSI	16	25450	0.857	18.88
E1	Sample13	HIV Triplex	ENV	20	25446	1.072	19.87
E1	Sample13	HIV Triplex	GAG	22	25444	1.179	42.23
E2	Sample14	HIV Triplex	PSI	20	25428	1.114	18.88
E2	Sample14	HIV Triplex	ENV	16	25432	0.891	19.87
E2	Sample14	HIV Triplex	GAG	24	25424	1.337	42.23
E3	Sample15	HIV Triplex	PSI	16	25421	0.867	18.88
E3	Sample15	HIV Triplex	ENV	19	25418	1.03	19.87
E3	Sample15	HIV Triplex	GAG	19	25418	1.03	42.23
F1	Sample16	HIV Triplex	PSI	5	25390	0.269	18.88
F1	Sample16	HIV Triplex	ENV	7	25388	0.376	19.87
F1	Sample16	HIV Triplex	GAG	12	25383	0.645	42.23
F2	Sample17	HIV Triplex	PSI	7	25442	0.388	18.88
F2	Sample17	HIV Triplex	ENV	6	25443	0.332	19.87
F2	Sample17	HIV Triplex	GAG	6	25443	0.332	42.23
F3	Sample18	HIV Triplex	PSI	4	25459	0.217	18.88
F3	Sample18	HIV Triplex	ENV	3	25460	0.163	19.87
F3	Sample18	HIV Triplex	GAG	9	25454	0.488	42.23
G1	Sample19	HIV Triplex	PSI	1	25425	0.054	18.88
G1	Sample19	HIV Triplex	ENV	0	25426	0	19.87
G1	Sample19	HIV Triplex	GAG	7	25419	0.377	42.23
G2	Sample20	HIV Triplex	PSI	0	25431	0	18.88
G2	Sample20	HIV Triplex	ENV	1	25430	0.055	19.87
G2	Sample20	HIV Triplex	GAG	6	25425	0.327	42.23
G3	Sample21	HIV Triplex	PSI	0	25459	0	18.88
G3	Sample21	HIV Triplex	ENV	4	25455	0.216	19.87
G3	Sample21	HIV Triplex	GAG	3	25456	0.162	42.23
H1	Sample22	HIV Triplex	PSI	0	25464	0	18.88
H1	Sample22	HIV Triplex	ENV	0	25464	0	19.87
H1	Sample22	HIV Triplex	GAG	6	25458	0.313	42.23
H2	Sample23	HIV Triplex	PSI	0	25410	0	18.88
H2	Sample23	HIV Triplex	ENV	0	25410	0	19.87
H2	Sample23	HIV Triplex	GAG	0	25410	0	42.23
H3	Sample24	HIV Triplex	PSI	0	25392	0	18.88
H3	Sample24	HIV Triplex	ENV	0	25392	0	19.87
H3	Sample24	HIV Triplex	GAG	7	25385	0.374	42.23
